_count;name;locality;localadmin;region;macroregion;country;lat;lon  
0;Calle Marqués de Murrieta 76;Logroño;Logroño;La Rioja;La Rioja;España;42.46383;-2.46096  
1;Calle General Vara de Rey 3;Logroño;Logroño;La Rioja;La Rioja;España;42.46473;-2.444  
2;Glorieta Quintiliano 1; Calahorra;Calahorra;La Rioja;La Rioja;España;42.30353;-1.96492  
3;Carretera de Alcanadre 2;Los Molinos de Ocón;Ocón;La Rioja;La Rioja;España;42.31334;-2.21067  
4;Carretera Miranda Fonzaleche, 11;Villaseca;Fonzaleche;La Rioja;La Rioja;España;42.59797;-2.97929  
5;Plaza de la Paz, 1;Haro;Haro;La Rioja;La Rioja;España;42.57712;-2.84645  
